ID,Task,Question,Sentence,Score
60395,1,1,People are playing the cards,1
99615,1,1,four elderly people are playing cards.,2
69634,1,1,"The people are playing cards,",2
52221,1,1,The old people are playing cards.,2
82425,1,1,peoples are laughing,1
11381,1,1,The people were playing cards at the park.,2
69591,1,1,There's people playing cards,1
15824,1,1,The people are conversing and playing cards.,2
60627,1,1,People are playing cards.,2
84138,1,1,The people are playing cards.,2
48548,1,1,Old people like to play cards,2
44074,1,1,The people are playing cards.,2
19769,1,1,playing card,0
41262,1,1,all people playing cards,0
83655,1,1,The old man play the card games with in friends.,0
94578,1,1,People are playing cards in the park.,2
97885,1,1,A group of older people play cards at a park table.,2
83030,1,1,The people are playing cards,2
35985,1,1,The people were playing cards.,2
94706,1,1,old people play the cards ,1
88150,1,1,the people are playing cards,2
29800,1,1,The people are sitting around playing cards,2
66086,1,1,These people are playing cards.,2
58506,1,1,all people piling the cards,0
81806,1,1,the people are playing ,2
44888,1,1,Old people are enjoying a game of cards.,2
96741,1,1,The people are playing cards.,2
64265,1,1,The people are playing cards.,2
63562,1,1,The people are playing cards.,2
71269,1,1,Some people are playing cards.,2
60395,1,2,The children are something found the soil.,0
99615,1,2,four youngsters think they found something interesting.,2
69634,1,2,The people found sand.,2
52221,1,2,The family found some shells,2
82425,1,2,peoples found something,1
11381,1,2,The boy found something in the sand.,2
69591,1,2,We found seashells in the sand!,2
15824,1,2,The children found an object in the sand.,2
60627,1,2,The family found something in the sand.,2
84138,1,2,The family found something in the sand.,2
48548,1,2,See what they found in the sand,2
44074,1,2,The family found something in the sand.,2
19769,1,2,playing,0
41262,1,2,all boys found the satin touch,0
83655,1,2,"Family plays on the beach, found something.",0
94578,1,2,The kids found something in the sand.,2
97885,1,2,Parents show kids what they found in the sand.,2
83030,1,2,The family found something on the beach.,2
35985,1,2,The family found a shell.,2
94706,1,2,"Family plays on the beach, found something, summer day",0
88150,1,2,the children found a rock in the sand,2
29800,1,2,They have found something in the sand,2
66086,1,2,These boys found a hermit crab.,2
58506,1,2,all girls and boys found,0
81806,1,2,the children found a insect in the sand ,2
44888,1,2,The kids found something interesting in the sand.,2
96741,1,2,The boys have found an insect.,2
64265,1,2,The children found something in the sand.,2
63562,1,2,The group found a seashell.,2
71269,1,2,A family found something in the sand.,2
60395,1,3,Boys are never driving the bicycle,0
99615,1,3,this youngster thinks he will never fall off his bike.,2
69634,1,3,This kid never crashes his bike.,2
52221,1,3,The boy never rode a bike before,2
82425,1,3,Never Ever give up,1
11381,1,3,The other boys would never overtake the boy who was about to cross the finish line.,2
69591,1,3,I've never rode a bike before,1
15824,1,3,The children never give up.,2
60627,1,3,Never try to catch me.,1
84138,1,3,The boy never rides his bike without a helmet.,2
48548,1,3,The boy has never let down his family,0
44074,1,3,The boy never bikes without a helmet.,2
19769,1,3,run to cycle,0
41262,1,3,the boy never driving the cycle,0
83655,1,3,Three generation family on cycle ride in countryside.,0
94578,1,3,Never ride a bike without your helmet.,2
97885,1,3,Never ride a bike without a helmet.,2
83030,1,3,The family never rides their bikes without helmets.,2
35985,1,3,They thought she would never ride a bike.,2
94706,1,3,Three Generation Family On Cycle Ride In Countryside,0
88150,1,3,the boy never rides behind the friends,2
29800,1,3,Never ride your bike without a helmet,2
66086,1,3,He would never ride without a helmet.,2
58506,1,3,never is a all boys cycle driving,0
81806,1,3,never give up the place,0
44888,1,3,"The boy doesn't ride his bike with the others, but he doesn't care.",0
96741,1,3,The boy never walks and rides a bicycle.,1
64265,1,3,The boy never rides without his helmet.,2
63562,1,3,The biker in front never looks back.,2
71269,1,3,The people being the kid in front never want to play with him.,1
60395,1,4,Playing children near the beautiful house,0
99615,1,4,four people are playing in front of a house.,2
69634,1,4,The family is playing outside the house.,2
52221,1,4,The family got out of the house,2
82425,1,4,children's are playing in front of the house,1
11381,1,4,The children were playing outside their house.,2
69591,1,4,We were playing in front of the house,2
15824,1,4,The children are playing outside their house.,2
60627,1,4,Mother and children are playing in front of the house.,1
84138,1,4,The family is playing in front of the house.,2
48548,1,4,They are playing in front of the house,2
44074,1,4,The family plays in front of the house.,2
19769,1,4,playing food ball,0
41262,1,4,the girls foot ball match for house,0
83655,1,4,The family play the games on the house.,0
94578,1,4,The kids are playing in front of the house.,2
97885,1,4,A family plays outside in front of a house.,2
83030,1,4,The family is playing outside their house.,2
35985,1,4,The family loved their new house.,2
94706,1,4,Family Members play the games in the house.,0
